feature	predictable_R2	rho	conf_R2	zero_frac	skewness
bait_pileup_fraction	0.804		0.028	0.0	0.6
bimodality_score	0.487	0.72	0.039	0.0	2.3
consensus_fraction_max_all	0.721		0.045	0.0	-6.6
consensus_fraction_max_ctcf	0.765		0.0	0.01	-4.0
consensus_fraction_max_enhancer	0.78		0.031	0.01	-3.4
consensus_fraction_mean_all	0.878		0.068	0.0	-1.9
contact_asymmetry	0.0	0.9	0.0	0.0	0.1
corr_oe_distance	0.451	0.66	0.082	0.0	-1.5
corr_raw_distance	0.468	0.57	0.06	0.01	1.0
ctcf_signal_fraction	0.913		0.023	0.01	0.4
ctcf_signal_fraction_raw	0.995	0.87	0.001	0.01	0.8
distal_signal_density	0.97	0.86	0.022	0.0	0.6
distance_to_nearest_peak_bp	0.464	0.32	0.0	0.0	18.0
dominant_peak_distance_bp	0.758		0.032	0.0	0.8
dominant_peak_isolation_bp	0.514	0.65	0.011	0.0	2.7
empty_band_fraction	0.81	0.77	0.009	0.0	-0.8
enhancer_signal_fraction_raw	0.996	0.86	0.181	0.01	0.7
frac_ctcf	0.939		0.014	0.01	0.7
frac_distal	1.0	0.96	0.02	0.0	0.5
frac_far_distal	1.0	0.98	0.083	0.0	0.9
frac_local	1.0	0.98	0.085	0.0	0.9
frac_promoter_proximal	1.0	0.91	0.041	0.0	0.3
frac_signal_in_top_peak	0.942	0.8	0.125	0.0	2.2
local_to_distal_ratio	0.928	0.98	0.038	0.0	-0.2
max_distance_to_viewpoint_all	0.942	0.77	0.026	0.0	0.6
max_distance_to_viewpoint_ctcf	0.864		0.004	0.01	0.9
max_distance_to_viewpoint_enhancer	0.835	0.71	0.009	0.01	1.3
max_distance_to_viewpoint_promoter	0.768	0.78	0.022	0.03	0.8
max_mcc	0.982	0.71	0.0	0.0	2.4
mean_peak_gap_bp	0.852	0.82	0.114	0.0	3.0
median_contact_distance	0.817	0.94	0.07	0.0	-0.1
n_active_peaks	0.926		0.073	0.0	0.8
n_high_consensus_peaks_075	0.887		0.089	0.01	0.6
n_peaks_all	0.983	0.74	0.149	0.0	0.6
n_peaks_ctcf	0.939	0.83	0.049	0.01	0.6
n_peaks_enhancer	0.911		0.043	0.01	1.8
n_peaks_promoter	0.928	0.87	0.408	0.03	1.3
n_peaks_within_100kb	0.873		0.205	0.0	0.7
oe_distal_mean	0.961	0.9	0.068	0.0	0.9
oe_distance_kurtosis	0.712	0.89	0.0	0.0	2.0
oe_fwhm_bp_max_all	0.624		0.018	0.0	0.4
oe_fwhm_bp_max_ctcf	0.672	0.74	0.028	0.01	1.2
oe_fwhm_bp_max_enhancer	0.74		0.0	0.02	0.4
oe_local_enrichment_max_all	0.778	0.44	0.046	0.0	2.9
oe_local_enrichment_max_ctcf	0.833		0.024	0.01	2.6
oe_local_enrichment_max_enhancer	0.72		0.016	0.02	2.5
oe_local_enrichment_max_promoter	0.775		0.126	0.03	2.6
oe_local_enrichment_mean_all	0.832		0.054	0.0	1.1
oe_max_cv	0.918	0.78	0.041	0.0	1.2
oe_max_max_all	0.954		0.061	0.0	3.1
oe_max_max_ctcf	0.905	0.88	0.027	0.01	2.7
oe_max_max_enhancer	0.842		0.049	0.02	6.3
oe_proximal_max	0.489	0.86	0.002	0.0	24.6
peak_dominance_index	0.787	0.68	0.014	0.0	1.2
promoter_signal_fraction	0.914	0.85	0.16	0.03	0.1
promoter_signal_fraction_raw	0.997	0.89	0.185	0.03	0.3
q90_mcc	0.689	0.75	0.039	0.02	-0.0
raw_log2_enrichment_max_all	0.863	0.78	0.039	0.0	0.1
raw_log2_enrichment_max_ctcf	0.875		0.023	0.01	0.1
raw_log2_enrichment_max_enhancer	0.833		0.013	0.01	0.2
raw_log2_enrichment_max_promoter	0.914		0.081	0.03	-0.3
raw_log2_enrichment_mean_all	0.903		0.019	0.0	-0.2
raw_peak_max_max_all	0.851	0.84	0.009	0.0	5.0
raw_peak_max_max_ctcf	0.893	0.9	0.0	0.01	5.2
raw_peak_max_max_enhancer	0.819		0.021	0.01	5.2
raw_peak_max_max_promoter	0.895		0.061	0.03	6.1
raw_peak_max_mean_all	0.927		0.0	0.0	2.5
signal_entropy	0.955	0.92	0.049	0.0	-0.4
signal_entropy_distal	0.869	0.78	0.047	0.0	-0.8
signal_profile_kurtosis	0.966	0.74	0.006	0.0	3.0
spacing_regularity	0.592	0.55	0.012	0.0	1.0
std_contact_distance	0.777	0.93	0.016	0.0	-0.0
total_mcc	0.966	0.65	0.046	0.0	0.1
