group	n	all	rand	greedy	null_all	null_rand	null_greedy	gap
ChromHMM_bivalent	46	0.6756280193236714	0.7331763285024154	0.7902053140096619	0.4589130434782609	0.6304468599033817	0.6831038647342995	0.10710144927536236
DepMap_curated_essential	254	0.5767370316147666	0.6019986744747359	0.6357600007913584	0.5044390258378507	0.5368278399873383	0.587620682150912	0.048139318640446405
DepMap_inferred_essential	328	0.555789871139818	0.5710759503840098	0.613045888364022	0.48350686076030724	0.5380193772293455	0.569278415116167	0.043767473247855015
Eisenberg_HK	633	0.5217750306383323	0.5564989079599755	0.5796368722723418	0.5076560015315911	0.530932017415336	0.565454026873171	0.014182845399170807
GWAS_immune_any	733	0.5777963274166522	0.5898012941437484	0.6041866616656186	0.5200268683756033	0.5579612884562819	0.5852292576017768	0.018957404063841832
GWAS_immune_hot	130	0.5864039806347499	0.6690693921463153	0.7030840953917878	0.5914783934014703	0.6003182714721176	0.647108660570199	0.05597543482158884
GWAS_total_topQ	509	0.5980062686159231	0.6201418593955033	0.6474968884683034	0.4840926156409755	0.5340123109386319	0.5507638865418724	0.09673300192643108
Lambert_TF	156	0.6118456986800181	0.6501441359429525	0.6975155515096343	0.4936997420725231	0.5568768016992869	0.6131277499620694	0.08438780154756487
Roadmap_silenced	41	0.511587054928721	0.610431727585974	0.731585703668671	0.4504155124653739	0.6434430106073913	0.7159921626917101	0.015593540976960973
bio_HK_k3	353	0.5285344829221922	0.573266366746422	0.6009138017073065	0.471585055091845	0.5440933990349678	0.5758297930474413	0.025084008659865153
bio_bulk_k3	1068	0.5426535436103328	0.5704810664047832	0.5893617072489722	0.48991941307299036	0.5347368649085814	0.5563615050595496	0.03300020218942257
bio_dev_TF_k3	303	0.6149244218005729	0.6339649519067266	0.6556833907629259	0.5295136772264394	0.565239803306319	0.5979008788759629	0.05778251188696304
cd4_rna_top_quartile	759	0.550819179354038	0.587500136358182	0.6073805532627181	0.4907743084216025	0.528537646372933	0.5395323580996154	0.0678481951631027
cd4_specific_immune	820	0.5202134740645652	0.5517104074549517	0.5777837208196643	0.5122902106214045	0.5457400275757144	0.5775103408928827	0.00027337992678166945
dbSUPER_CD4_SE_TSS_pm50kb	158	0.5516865138880557	0.5863916551682764	0.6300467934489172	0.5297220889075529	0.5638498110264563	0.6195857579938808	0.010461035455036405
gene_desert_bottomQ_density	456	0.8060472674491983	0.8071374479363876	0.8111242584879463	0.5398665278303674	0.5676243215953554	0.5927742016912785	0.21835005679666786
gnomAD_pLI_topQ	546	0.5770681882220343	0.592566920259228	0.6206522964215272	0.49014511129895744	0.523058608058608	0.5574077204846436	0.0632445759368836
phastCons_2kb_topQ	415	0.575206486322649	0.5851060426191138	0.6119235853266315	0.47847574785515223	0.5353388396352707	0.5587077871233361	0.05321579820329536
