group	measure	n	d	p	rank	q
ChromHMM_bivalent	ctcf_other	46	0.6289199308687392	0.0005	1	0.009000000000000001
ChromHMM_bivalent	ctcf_total	46	0.6790023192121691	0.0005	2	0.009000000000000001
Lambert_TF	promoter_total	156	0.3094765363840288	0.0005	3	0.009000000000000001
cd4_specific_immune	ctcf_other	819	-0.1645915210756239	0.0005	4	0.009000000000000001
Lambert_TF	ctcf_total	156	-0.4259198986908345	0.0005	5	0.009000000000000001
Lambert_TF	ctcf_other	156	-0.3963126716594652	0.0005	6	0.009000000000000001
Lambert_TF	promoter_other	156	0.2678618561679921	0.0005	7	0.009000000000000001
gene_desert_bottomQ_density	enhancer_total	456	0.1809269634142933	0.0005	8	0.009000000000000001
gene_desert_bottomQ_density	enhancer_other	456	0.2058897481229396	0.0005	9	0.009000000000000001
cd4_rna_top_quartile	ctcf_other	759	-0.1517670605142312	0.001	10	0.012461538461538461
cd4_rna_top_quartile	promoter_total	759	0.1494194471913942	0.001	11	0.012461538461538461
ChromHMM_bivalent	promoter_total	46	-0.4824391008660757	0.001	12	0.012461538461538461
ChromHMM_bivalent	promoter_other	46	-0.4803255139430488	0.001	13	0.012461538461538461
cd4_specific_immune	ctcf_total	819	-0.1554675811296591	0.0015	14	0.017357142857142856
GWAS_total_topQ	promoter_other	508	-0.1611836498015139	0.003	15	0.030375
GWAS_immune_any	promoter_other	732	-0.1458358254008622	0.003	16	0.030375
GWAS_immune_hot	promoter_other	129	-0.2554746130242714	0.0045	17	0.04288235294117647
cd4_rna_top_quartile	ctcf_total	759	-0.1361896016727748	0.005	18	0.045000000000000005
Eisenberg_HK	promoter_other	633	0.136827605556646	0.006	19	0.051157894736842104
phastCons_2kb_topQ	enhancer_own	415	-0.1405287446308647	0.0085	20	0.06885
DepMap_inferred_essential	enhancer_other	328	-0.1529226981827054	0.01	21	0.07714285714285715
GWAS_immune_any	promoter_total	732	-0.1135354081617838	0.015	22	0.11045454545454544
DepMap_curated_essential	ctcf_own	254	0.1635457221735664	0.016	23	0.11269565217391304
GWAS_immune_hot	promoter_total	129	-0.2055028835695878	0.021	24	0.14175000000000001
gene_desert_bottomQ_density	promoter_other	456	-0.122647362728353	0.022	25	0.14256
phastCons_2kb_topQ	promoter_own	415	0.129701917029956	0.026	26	0.1562142857142857
cd4_rna_top_quartile	promoter_own	759	0.1072943280994605	0.0265	27	0.1562142857142857
bio_HK_k3	enhancer_other	353	-0.1233681878708747	0.027	28	0.1562142857142857
GWAS_immune_hot	enhancer_total	129	0.2046023985962915	0.031	29	0.17317241379310347
GWAS_total_topQ	enhancer_other	508	0.113234370539056	0.033	30	0.1782
GWAS_immune_any	enhancer_other	732	0.0931532095402923	0.0365	31	0.18409090909090908
bio_bulk_k3	promoter_total	1065	-0.1007131159047864	0.0365	32	0.18409090909090908
cd4_specific_immune	promoter_other	819	0.0997127941644951	0.0375	33	0.18409090909090908
bio_dev_TF_k3	ctcf_other	303	-0.1285528697303452	0.04	34	0.18757894736842104
GWAS_immune_any	enhancer_total	732	0.0970638819109834	0.043	35	0.18757894736842104
GWAS_total_topQ	enhancer_total	508	0.1076232293677451	0.043	36	0.18757894736842104
bio_dev_TF_k3	promoter_own	303	0.1287641409327608	0.0435	37	0.18757894736842104
bio_dev_TF_k3	ctcf_total	303	-0.1270082862833131	0.044	38	0.18757894736842104
gene_desert_bottomQ_density	promoter_total	456	-0.1074902799073147	0.047	39	0.19523076923076924
bio_bulk_k3	promoter_other	1065	-0.0934605809273608	0.055	40	0.21600000000000003
GWAS_total_topQ	promoter_total	508	-0.1040936625230953	0.0555	41	0.21600000000000003
DepMap_curated_essential	enhancer_other	254	-0.1290304583254206	0.056	42	0.21600000000000003
cd4_rna_top_quartile	promoter_other	759	0.0865115733466398	0.0595	43	0.2241627906976744
DepMap_inferred_essential	enhancer_total	328	-0.1148213327487397	0.061	44	0.2245909090909091
GWAS_immune_hot	enhancer_other	129	0.1746634496770243	0.065	45	0.23243478260869566
Eisenberg_HK	enhancer_other	633	-0.0896825688101723	0.066	46	0.23243478260869566
Eisenberg_HK	promoter_total	633	0.0886319209362838	0.07	47	0.24127659574468088
bio_HK_k3	promoter_other	353	0.1036311356083205	0.089	48	0.2944038461538461
Lambert_TF	ctcf_own	156	-0.1415405323564141	0.092	49	0.2944038461538461
bio_dev_TF_k3	promoter_total	303	0.1045750898051764	0.0925	50	0.2944038461538461
Roadmap_silenced	promoter_total	39	-0.2764830253664663	0.0945	51	0.2944038461538461
ChromHMM_bivalent	enhancer_other	46	-0.2505380531423991	0.0945	52	0.2944038461538461
cd4_specific_immune	promoter_total	819	0.0780026618828283	0.1	53	0.3004363636363636
bio_HK_k3	promoter_own	353	-0.0960490978677177	0.1015	54	0.3004363636363636
bio_bulk_k3	ctcf_other	1065	0.0755215248408377	0.102	55	0.3004363636363636
DepMap_inferred_essential	promoter_own	328	-0.0962744775367608	0.1135	56	0.324
DepMap_inferred_essential	promoter_other	328	0.0928253647082607	0.114	57	0.324
cd4_specific_immune	enhancer_own	819	0.0755394943282788	0.1205	58	0.3365689655172414
Eisenberg_HK	enhancer_total	633	-0.0754060713698735	0.123	59	0.337728813559322
bio_HK_k3	enhancer_total	353	-0.0896196784930418	0.139	60	0.37313114754098364
cd4_specific_immune	enhancer_total	819	0.0681689393403946	0.1405	61	0.37313114754098364
gnomAD_pLI_topQ	ctcf_other	546	-0.0746608164641412	0.1515	62	0.3958548387096774
Eisenberg_HK	promoter_own	633	-0.0674976571008595	0.157	63	0.39740625
GWAS_total_topQ	promoter_own	508	0.0742302190484316	0.157	64	0.39740625
gene_desert_bottomQ_density	ctcf_other	456	-0.0746441583347914	0.163	65	0.4037727272727273
Roadmap_silenced	promoter_other	39	-0.2309260676188155	0.1645	66	0.4037727272727273
DepMap_inferred_essential	ctcf_own	328	0.0820315289208894	0.1685	67	0.40380882352941183
bio_bulk_k3	enhancer_other	1065	0.0651981063214735	0.1695	68	0.40380882352941183
gene_desert_bottomQ_density	ctcf_total	456	-0.0706794999689933	0.1785	69	0.41412676056338027
DepMap_curated_essential	enhancer_total	254	-0.0927014542630799	0.179	70	0.41412676056338027
DepMap_inferred_essential	ctcf_total	328	0.0842346364350809	0.1815	71	0.41412676056338027
bio_bulk_k3	enhancer_total	1065	0.062357570124645	0.1895	72	0.426375
ChromHMM_bivalent	enhancer_total	46	-0.1936229000837044	0.1965	73	0.43606849315068497
Lambert_TF	enhancer_other	156	0.1104988573717243	0.202	74	0.44221621621621626
bio_dev_TF_k3	enhancer_own	303	-0.0767636025813908	0.22	75	0.4742763157894737
DepMap_curated_essential	ctcf_total	254	0.0825290935229323	0.2225	76	0.4742763157894737
ChromHMM_bivalent	ctcf_own	46	0.1898961330244795	0.2255	77	0.4744285714285714
bio_bulk_k3	ctcf_own	1065	-0.0565284512892114	0.231	78	0.47976923076923084
gnomAD_pLI_topQ	ctcf_own	546	0.0571201600729573	0.2555	79	0.52
GWAS_immune_hot	enhancer_own	129	0.1033937331440614	0.259	80	0.52
phastCons_2kb_topQ	promoter_total	415	0.0631443001341023	0.26	81	0.52
DepMap_curated_essential	promoter_own	254	-0.074634048907949	0.275	82	0.5432926829268293
Roadmap_silenced	enhancer_total	39	0.1728931658342146	0.2875	83	0.5611445783132529
bio_bulk_k3	ctcf_total	1065	0.0493682381686194	0.295	84	0.5631882352941175
Roadmap_silenced	enhancer_other	39	0.1735824420896528	0.2955	85	0.5631882352941175
Lambert_TF	enhancer_total	156	0.0825722470451518	0.316	86	0.5952558139534884
Roadmap_silenced	ctcf_own	39	0.1698374531374303	0.3205	87	0.5967931034482759
GWAS_immune_hot	ctcf_own	129	0.0903633495736287	0.331	88	0.6093409090909091
gnomAD_pLI_topQ	ctcf_total	546	-0.0483155681239917	0.3455	89	0.6282
phastCons_2kb_topQ	enhancer_total	415	-0.0539168838217596	0.349	90	0.6282
DepMap_inferred_essential	ctcf_other	328	0.0537185309029789	0.3715	91	0.6613516483516484
DepMap_curated_essential	promoter_other	254	0.0590438287595915	0.3805	92	0.6700108695652174
GWAS_immune_any	promoter_own	732	0.0394524207860462	0.399	93	0.6950322580645162
bio_dev_TF_k3	enhancer_other	303	0.0537976295305393	0.405	94	0.6977812499999999
bio_HK_k3	ctcf_own	353	0.0474856976303299	0.41	95	0.6977812499999999
Lambert_TF	promoter_own	156	0.0715341113012927	0.4135	96	0.6977812499999999
bio_HK_k3	ctcf_total	353	0.046959404331732	0.43	97	0.7181443298969071
cd4_rna_top_quartile	enhancer_own	759	-0.0358513814390481	0.435	98	0.7190816326530612
cd4_specific_immune	enhancer_other	819	0.0325910983746883	0.4865	99	0.7960909090909091
ChromHMM_bivalent	promoter_own	46	-0.1034994760546973	0.501	100	0.81162
dbSUPER_CD4_SE_TSS_pm50kb	promoter_other	158	-0.0533488900667126	0.5085	101	0.8147647058823531
bio_HK_k3	promoter_total	353	0.0398405132985965	0.513	102	0.8147647058823531
cd4_rna_top_quartile	enhancer_total	759	-0.0304613602130171	0.519	103	0.8162912621359224
phastCons_2kb_topQ	ctcf_own	415	0.0331295109922363	0.543	104	0.8331428571428571
Eisenberg_HK	ctcf_own	633	-0.0282523754036177	0.548	105	0.8331428571428571
GWAS_immune_any	enhancer_own	732	0.0280693989168961	0.56	106	0.8331428571428571
bio_HK_k3	enhancer_own	353	0.0327705826599513	0.5665	107	0.8331428571428571
cd4_specific_immune	promoter_own	819	-0.0273789566113092	0.5685	108	0.8331428571428571
GWAS_immune_any	ctcf_total	732	0.0270665332766005	0.5685	109	0.8331428571428571
Roadmap_silenced	promoter_own	39	-0.0958424368485593	0.5685	110	0.8331428571428571
phastCons_2kb_topQ	ctcf_other	415	-0.0316762298581585	0.5755	111	0.8331428571428571
Roadmap_silenced	ctcf_total	39	0.0946234852140658	0.576	112	0.8331428571428571
GWAS_immune_any	ctcf_other	732	0.0256322285230828	0.5905	113	0.8381739130434782
DepMap_inferred_essential	enhancer_own	328	0.0330130328248675	0.5905	114	0.8381739130434782
GWAS_immune_hot	promoter_own	129	0.0461330871767127	0.595	115	0.8381739130434782
DepMap_inferred_essential	promoter_total	328	0.0294988832353864	0.615	116	0.8457749999999999
dbSUPER_CD4_SE_TSS_pm50kb	promoter_own	158	0.04311621972528	0.617	117	0.8457749999999999
gnomAD_pLI_topQ	promoter_own	546	0.0250350956250242	0.624	118	0.8457749999999999
gnomAD_pLI_topQ	promoter_total	546	0.025377020359536	0.624	119	0.8457749999999999
bio_HK_k3	ctcf_other	353	0.0299307227498771	0.6265	120	0.8457749999999999
Eisenberg_HK	ctcf_total	633	-0.0233432353560846	0.632	121	0.8461487603305785
dbSUPER_CD4_SE_TSS_pm50kb	ctcf_other	158	0.0372855846913557	0.651	122	0.8600487804878049
DepMap_curated_essential	enhancer_own	254	0.0308468216598481	0.653	123	0.8600487804878049
gnomAD_pLI_topQ	enhancer_total	546	0.0201640409957142	0.677	124	0.8820708661417322
bio_bulk_k3	promoter_own	1065	-0.018797256550551	0.688	125	0.8820708661417322
