set	measure	n	d	p	rank	q
HCFC1_HepG2	promoter_other	894	0.17630121091105183	0.00025	1	0.003
HCFC1_GM12878	promoter_other	1137	0.12553498863297585	0.0095	2	0.056999999999999995
HCFC1_GM12878	enhancer_other	1137	-0.08902411821265649	0.06475	3	0.259
HCFC1_HepG2	enhancer_other	894	-0.07888167741140055	0.088	4	0.264
RONIN_module_all3	promoter_other	410	0.0890187841670004	0.112	5	0.26880000000000004
ZNF143_K562	enhancer_other	486	0.06420701093786652	0.2255	6	0.45
RONIN_module_all3	ctcf_other	410	-0.060264682310948094	0.2915	7	0.45
HCFC1_HepG2	ctcf_other	894	-0.042462280047818345	0.36725	8	0.45
RONIN_module_all3	enhancer_other	410	0.05120293583356521	0.37075	9	0.45
ZNF143_K562	promoter_other	486	0.047864317194091406	0.375	10	0.45
ZNF143_K562	ctcf_other	486	-0.030222451061100025	0.56675	11	0.6182727272727273
HCFC1_GM12878	ctcf_other	1137	-0.017522101251533164	0.714	12	0.714
