gene_id	symbol_key	chrom	tss	strand	TATA	Inr	DPE	gc	cpg_oe	CpG_island	focused_TATA	broad_CpG_TATAless	coreprom_TATA	coreprom_Inr	coreprom_CpG_island	coreprom_focused_TATA_noCpG	coreprom_broad_CpG_TATAless
ZCCHC7	ZCCHC7	chr9	37120573	+	False	False	False	0.6633165829145728	0.924077083817042	True	False	True	False	False	True	False	True
DPM3	DPM3	chr1	155140530	-	False	False	True	0.6331658291457286	0.8824833702882483	True	False	True	False	False	True	False	True
WIPI1	WIPI1	chr17	68457495	-	False	False	False	0.8291457286432161	0.9295962629295963	True	False	True	False	False	True	False	True
HSPH1	HSPH1	chr13	31161903	-	False	False	False	0.6482412060301508	0.9068354430379747	True	False	True	False	False	True	False	True
SCAMP4	SCAMP4	chr19	1905398	+	False	False	False	0.7135678391959799	0.9124800637958532	True	False	True	False	False	True	False	True
FUCA1	FUCA1	chr1	23868289	-	False	False	False	0.7135678391959799	1.0364583333333333	True	False	True	False	False	True	False	True
UQCR11	UQCR11	chr19	1605461	-	False	False	True	0.7085427135678392	0.963291649858814	True	False	True	False	False	True	False	True
NIPAL3	NIPAL3	chr1	24415801	+	False	False	False	0.5326633165829145	0.5768115942028985	False	False	False	False	False	False	False	False
MSH2	MSH2	chr2	47403155	+	False	False	False	0.6633165829145728	1.0792871900826446	True	False	True	False	False	True	False	True
VPS26C	VPS26C	chr21	37267333	-	False	False	False	0.6381909547738693	0.9820779220779221	True	False	True	False	False	True	False	True
ITPR1	ITPR1	chr3	4493347	+	True	False	False	0.628140703517588	0.5190401669274909	False	True	False	True	False	False	True	False
MICB	MICB	chr6	31498144	+	False	False	False	0.5979899497487438	0.7459630911188004	True	False	True	False	False	True	False	True
DMAC2	DMAC2	chr19	41439911	-	False	False	False	0.5778894472361809	0.9045454545454545	True	False	True	False	False	True	False	True
RGS2	RGS2	chr1	192809038	+	False	False	False	0.6432160804020101	0.8764374847076095	True	False	True	False	False	True	False	True
RIOK2	RIOK2	chr5	97183246	-	False	False	False	0.5527638190954773	1.0698924731182795	True	False	True	False	False	True	False	True
EIF3D	EIF3D	chr22	36529165	-	False	False	False	0.6482412060301508	1.052910052910053	True	False	True	False	False	True	False	True
UCP2	UCP2	chr11	73982842	-	False	False	False	0.7738693467336684	0.9586083853702052	True	False	True	False	False	True	False	True
MLF2	MLF2	chr12	6753140	-	False	True	False	0.7688442211055276	0.7896825396825397	True	False	True	False	True	True	False	True
CIP2A	CIP2A	chr3	108589437	-	False	False	False	0.6482412060301508	0.8728070175438597	True	False	True	False	False	True	False	True
DMAC1	DMAC1	chr9	7799777	-	False	True	False	0.5879396984924623	0.9555822328931572	True	False	True	False	True	True	False	True
ZBTB48	ZBTB48	chr1	6579993	+	False	False	False	0.6984924623115578	1.031301824212272	True	False	True	False	False	True	False	True
GLOD4	GLOD4	chr17	782279	-	False	False	False	0.6532663316582915	1.2792857142857144	True	False	True	False	False	True	False	True
CUL7	CUL7	chr6	43053850	-	False	False	False	0.7135678391959799	0.7501984126984127	True	False	True	False	False	True	False	True
